month,area,GNRL,SPORTS_FCLTY,BCYCL,EVENT_MARATHON,SPCLIZ_PARK,ETC,sum
1,Gwangnaru,53455,8505,33544,387,0,3429,99320
1,Jamsil,86888,10397,47295,2476,0,17373,164429
1,Ttukseom,370010,233840,267245,8410,203418,39287,1122210
1,Jamwon,100321,10287,38838,0,0,11706,161152
1,Banpo,69263,31338,36666,17,0,5994,143278
1,Ichon,85530,47310,82060,0,0,7270,222170
1,Yeouido,145808,18035,55147,17100,281430,56267,573787
1,Yanghwa,51774,12660,49781,900,0,2069,117184
1,Mangwon,83720,16330,38630,1570,0,590,140840
1,Nanji,64314,900,47945,1780,77165,2770,194874
1,Gangseo,30435,2367,36140,37,0,320,69299
2,Gwangnaru,43427,11982,33224,12389,0,2762,103784
2,Jamsil,89708,11471,45931,5650,0,15364,168124
2,Ttukseom,399490,207625,241265,6760,176220,10992,1042352
2,Jamwon,95137,11539,41614,3500,0,8049,159839
2,Banpo,54991,29334,36811,0,0,5681,126817
2,Ichon,90100,46130,77745,0,0,7015,220990
2,Yeouido,183281,19934,63327,18823,259911,35158,580434
2,Yanghwa,50396,12176,44228,1050,0,1610,109460
2,Mangwon,74140,14785,44810,1315,0,840,135890
2,Nanji,60235,8607,49565,2029,39215,4536,164187
2,Gangseo,37365,2640,54913,1602,0,352,96872
3,Gwangnaru,50951,15960,44094,3429,0,386,114820
3,Jamsil,121761,13877,80028,12943,0,15790,244399
3,Ttukseom,395830,238340,281080,12870,262041,13604,1203765
3,Jamwon,123554,16725,69058,0,0,10095,219432
3,Banpo,75386,36205,49386,0,0,6584,167561
3,Ichon,135640,64330,90730,300,0,7295,298295
3,Yeouido,629302,30044,129639,28994,528758,54126,1400863
3,Yanghwa,105607,30223,96286,1500,0,1460,235076
3,Mangwon,100420,23604,65946,1660,0,1900,193530
3,Nanji,103151,14044,92825,5262,120530,14214,350026
3,Gangseo,48665,4083,82577,121,0,507,135953
4,Gwangnaru,70219,32693,74718,2058,0,4958,184646
4,Jamsil,122709,9393,77477,6406,0,8731,224716
4,Ttukseom,409050,242205,344080,63850,299154,28630,1386969
4,Jamwon,103880,18777,53828,120,0,7559,184164
4,Banpo,96465,47494,73775,1440,625,8169,227968
4,Ichon,134310,64695,122900,0,0,9539,331444
4,Yeouido,2952240,34523,236480,28001,1084764,91782,4427790
4,Yanghwa,219692,34586,184818,7823,0,2760,449679
4,Mangwon,119980,45317,85525,5565,0,2345,258732
4,Nanji,129356,19170,106255,15330,102665,29017,401793
4,Gangseo,52548,12303,97965,1231,0,274,164321
5,Gwangnaru,72741,34625,103243,1645,0,2118,214372
5,Jamsil,141263,15829,105523,5826,0,13316,281757
5,Ttukseom,435217,204747,342569,22485,310802,27238,1343058
5,Jamwon,94222,16562,52480,0,0,5791,169055
5,Banpo,119770,62089,94572,369,6510,2912,286222
5,Ichon,161670,75785,151130,0,0,17540,406125
5,Yeouido,855023,33706,272033,22158,849091,74992,2107003
5,Yanghwa,224172,42935,272742,3924,0,4277,548050
5,Mangwon,125060,59560,107670,5825,0,3480,301595
5,Nanji,219941,29719,106145,50485,180725,37074,624089
5,Gangseo,72257,24568,171557,1059,0,540,269981
6,Gwangnaru,82610,40720,87628,2513,0,3095,216566
6,Jamsil,121470,20565,94163,6397,0,12687,255282
6,Ttukseom,449215,200600,317975,42770,362972,43999,1417531
6,Jamwon,95504,11810,44416,0,0,7063,158793
6,Banpo,122186,53628,96708,571,62706,1133,336932
6,Ichon,147480,72470,165550,0,0,15553,401053
6,Yeouido,770860,20713,196279,32426,652264,72927,1745469
6,Yanghwa,169464,41954,223117,4577,0,3702,442814
6,Mangwon,141680,65365,107320,5550,0,7106,327021
6,Nanji,189420,4451,100450,33175,165813,27629,520938
6,Gangseo,68104,29523,163084,629,0,431,261771
7,Gwangnaru,86225,36926,111542,8487,0,25496,268676
7,Jamsil,117179,22913,81348,5448,0,36954,263842
7,Ttukseom,458255,155223,389200,22507,377515,117435,1520135
7,Jamwon,97415,12450,49003,0,0,34264,193132
7,Banpo,126356,53738,93817,272,84554,1100,359837
7,Ichon,123450,59110,151720,0,0,16244,350524
7,Yeouido,599346,17524,164220,7607,701725,68088,1558510
7,Yanghwa,138277,35324,183272,2288,0,4297,363458
7,Mangwon,140640,58610,103850,2800,0,34260,340160
7,Nanji,202672,20643,89745,3505,194545,18463,529573
7,Gangseo,74618,32638,147578,649,0,501,255984
8,Gwangnaru,95349,43637,128782,4281,0,16145,288194
8,Jamsil,128953,25202,95152,9179,0,36600,295086
8,Ttukseom,483045,153545,346983,30126,426502,103087,1543288
8,Jamwon,108968,14849,57030,30,0,35042,215919
8,Banpo,152719,61549,118768,3692,94336,1463,432527
8,Ichon,128225,57345,143290,0,0,12649,341509
8,Yeouido,636938,11719,136429,10066,657839,71166,1524157
8,Yanghwa,181135,45496,189343,2979,0,3106,422059
8,Mangwon,137910,62260,109680,3045,0,37443,350338
8,Nanji,255866,22976,102210,5770,186732,16394,589948
8,Gangseo,88122,41788,163839,852,0,487,295088
9,Gwangnaru,145561,51875,138062,7493,0,7320,350311
9,Jamsil,121750,25690,105362,8487,0,11207,272496
9,Ttukseom,507331,112415,360183,15530,366985,32098,1394542
9,Jamwon,99968,24716,59575,540,0,6274,191073
9,Banpo,155778,61146,116478,5601,118329,2368,459700
9,Ichon,132976,58290,240620,0,0,14766,446652
9,Yeouido,600535,12622,162541,101810,671382,35223,1584113
9,Yanghwa,159081,37233,191680,4340,0,5265,397599
9,Mangwon,135530,66050,108280,4440,0,4520,318820
9,Nanji,229735,22485,98815,49010,197195,28179,625419
9,Gangseo,110014,40182,217480,5613,0,512,373801
10,Gwangnaru,141618,57959,139495,4260,0,6675,350007
10,Jamsil,98298,23089,79190,13642,0,10265,224484
10,Ttukseom,376171,122337,307555,31443,363511,23519,1224536
10,Jamwon,104165,12240,50930,4990,0,7303,179628
10,Banpo,156425,56312,111635,45745,123406,2150,495673
10,Ichon,163590,66650,164848,506300,0,17683,919071
10,Yeouido,503681,16438,146495,922977,673732,34996,2298319
10,Yanghwa,206860,37113,190986,7546,0,5349,447854
10,Mangwon,322550,72070,101620,3860,0,4830,504930
10,Nanji,176040,14763,95080,6860,178470,22243,493456
10,Gangseo,92537,41931,162564,2340,0,453,299825
